Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:54:47.935057542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.935543500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.935956000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.936417208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.936805958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.937292583+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.937704875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.939038292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.939452792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.939914792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.940327375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.940788958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.941201333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.941663000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.942075833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.942537042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.942950167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.944284500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.944698625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.946031667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.946446667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.946907500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.947296667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.948654208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.949069875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.950403083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.950818125+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.952151208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.952566625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.953900292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.954315083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.954777417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.955189458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:47.956522750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:47.956937750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.284791375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.288242583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.290009125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.290428000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.290918375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.291302208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.291793375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.292176542+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.293506542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.293925083+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.295254500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.295673500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:54:48.296163833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:54:48.296547583+00:00,1,1,1,1,1,1,1,1
