Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:49:42.857478042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.857867667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.858354500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.858741875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.860101667+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.860490208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.860976167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.861364458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.861850083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.862238917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.863598208+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.863987167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.864472833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.864861208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.865347042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.865735583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.866222833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.866610042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.867096250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.867484042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.867971167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.868358375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.869717750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.870106583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.871465958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.871855000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.873214542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.873603292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.874089708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.874477583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.875836792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.876225875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.876712625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.877100292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.877587000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:49:42.877974417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:49:42.879333875+00:00,0,1,1,1,1,1,1,1
