Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
2026-06-06T14:56:45.157459958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.157843042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.158334333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.158717167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.160047417+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.160465833+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.160956958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.161339917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.162670792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.163088500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.164419167+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.164836917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.166165375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.166585292+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.167077542+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.167459333+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.167951375+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.168333875+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.169661500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.170082167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.171414042+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.171830750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.172322250+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.172704917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.173196792+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.173578917+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.174909625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.175327625+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.176691750+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.177076042+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.177568083+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.177950500+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.178442458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.178824458+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.258307708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.261759208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.263525625+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.263944000+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.264438000+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.264818167+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.265311292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.265692208+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.267022458+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.267440750+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.268768875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.269189375+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.269682875+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.270063583+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.271394333+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.271811958+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.272305958+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.272686417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.273180292+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.273560708+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.274053833+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.274434792+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.275763708+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.276183417+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.276677500+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.277057667+00:00,1,1,1,1,1,1,1,1
2026-06-06T14:56:45.277551125+00:00,0,1,1,1,1,1,1,1
2026-06-06T14:56:45.277931750+00:00,1,1,1,1,1,1,1,1
